medicine_name
"Vitamin D3"
"Pheniramine"
"Amikacin"
"Anti Rh D Immunoglobulin"
"Amoxycillin"
"Adrenaline"
"Atropine"
"Testosterone"
"Human insulin"
"Insulin Glulisine"
"Albumin"
"Ranitidine"
"Standard Cobra Venom"
"Ranibizumab"
"Alteplase"
"Methylcobalamin"
"Acyclovir"
"Hydroxyzine"
"Streptomycin"
"Adenosine"
"Progesterone"
"Bupivacaine"
"Edaravone"
"Camylofin"
"Dulaglutide"
"Recombinant Human Erythropoietin Alfa"
"Bevacizumab"
"Aminophylline"
"Piroxicam"
"Azithromycin"
"Aztreonam"
"Ampicillin"
"Polidocanol"
"Tocilizumab"
"Doxorubicin"
"Romiplostim"
"Adalimumab"
"Atracurium"
"Ceftriaxone"
"Alprostadil"
"Hydroxyprogesterone"
"Rabies vaccine"
"Artesunate"
"Nandrolone Decanoate"
"Liposomal Amphotericin B"
"Azacitidine"
"Corticotropin"
"Amiodarone"
"Darbepoetin alfa"
"Ketorolac"
"Fondaparinux"
"Thiamine"
"Cefepime"
"Pralidoxime"
"Amphotericin B"
"Sildenafil"
"Norepinephrine"
"Dicyclomine"
"Hydrocortisone"
"Cetrorelix"
"Paracetamol"
"Gonadotrophins  Including Other Ovulation Stimulants"
"Ketamine"
"Octreotide acetate"
"L-Ornithine L-Aspartate"
"Diclofenac"
"Cefuroxime"
"Ceftazidime"
"Inactivated influenza vaccine"
"Amino Acids"
"Aprepitant"
"Diphtheria Toxoid"
"Meropenem"
"Tranexamic Acid"
"Aceclofenac"
"Freeze-dried Live Attenuated Hepatitis A Vaccine"
"Arsenic Trioxide"
"Iron"
"Tetanus Toxoid"
"Anidulafungin"
"Sterile Water"
"Filgrastim"
"Ertapenem"
"Ondansetron"
"Snake Venom Antiserum"
"Pantoprazole"
"Tramadol"
"Arteether"
"Interferon Beta-1A"
"Triamcinolone Acetonide"
"Cytarabine"
"Heparin"
"Abciximab"
"Alpha-Beta Arteether"
"Fluphenazine"
"Paclitaxel"
"Methylprednisolone"
"Caffeine"
"Equine Rabies Immunoglobulin"
"Dactinomycin"
"Hemocoagulase"
"Triamcinolone"
"Betamethasone"
"Pemetrexed"
"Cefoperazone"
"Diatrizoic Acid"
"Hydroxypropylmethylcellulose"
"Itolizumab"
"Iron Sucrose"
"Sulbactam"
"Dexamethasone"
"Ephedrine"
"Enoxaparin"
"Pegfilgrastim"
"Vitamin C"
"Melphalan"
"Pegaspargase"
"Amrinone"
"Ferrous Ascorbate"
"Colistimethate Sodium"
"Zoledronic acid"
"Fosaprepitant"
"Carboplatin"
"Epirubicin"
"Drotaverine"
"Dexmedetomidine"
"Adrenochrome Monosemicarbazone"
"Doxycycline"
"Piperacillin"
"Etoposide"
"Citicoline"
"Cefazolin"
"Calcium Leucovorin"
"Oxaliplatin"
"Serratiopeptidase"
"Ofatumumab"
"Gemcitabine"
"Granisetron"
"Isoxsuprine"
"Hyaluronidase"
"Procaine Penicillin G"
"Leuprolide"
"Cefotaxime"
"Lorazepam"
"Docetaxel"
"Caspofungin"
"Tobramycin"
"Artemether"
"Folic Acid"
"Levosulpiride"
"Imipenem"
"Quinine"
"Aprotinin"
"Lincomycin"
"Rabeprazole"
"Bendamustine"
"Asparaginase"
"Clindamycin"
"Acetylcysteine"
"Ethamsylate"
"Pipecuronium Bromide"
"Vitamin B"
"Tirofiban"
"Interferon Alpha 2A"
"Piracetam"
"Vasopressin"
"Esomeprazole"
"Gentamicin"
"Amifostine"
"Terlipressin"
"Lidocaine"
"Vincristine"
"Thiocolchicoside"
"Cloxacillin"
"Levetiracetam"
"Prednisolone"
"Thiopental Sodium"
"Oxytetracycline"
"Methotrexate"
"Dacarbazine"
"Pamidronate"
"Cabazitaxel"
"Measles Vaccine"
"Omeprazole"
"Sodium Valproate"
"Colistin Sulphate"
"Tigecycline"
"Elemental Iron"
"Abiraterone Acetate"
"Polymyxin B"
"Vancomycin"
"Streptokinase"
"Hydrochloride"
"Hyoscine butylbromide"
"Human Normal Immunoglobulin"
"Teriparatide"
"Insulin Glargine"
"Butorphanol"
"Metoprolol Tartrate"
"Purified Vi Polysaccharide Typhoid Vaccine"
"Human Rabies Immunoglobulin"
"Bortezomib"
"Cyanocobalamin"
"Buprenorphine"
"Hepatitis B Vaccine"
"Brivaracetam"
"Penicillin G"
"Bleomycin"
"Omalizumab"
"Varicella Vaccine"
"Benzathine penicillin G"
"Chloramphenicol"
"Human Gamma Globulin"
"Dimercaprol"
"Trastuzumab"
"Bivalirudin"
"Nimotuzumab"
"OnabotulinumtoxinA"
"Salmonella Typhi Vaccine"
"Methylene Blue"
"Buserelin"
"Sodium Hyaluronate"
"Terbutaline"
"Insulin Isophane/NPH"
"Polio Vaccine"
"Ibandronic Acid"
"Busulfan"
"Midazolam"
"Calcitonin"
"Haemophilus Type B Conjugate Vaccine"
"Insulin Isophane"
"Trypan Blue"
"Ofloxacin"
"Micafungin"
"Inotuzumab Ozogamacin"
"Collagen Peptide"
"Cefpirome"
"Cardioplegia"
"Vi Capsular Polysaccharide Of Salmonella Typhi"
"Phenoxybenzamine"
"Erythromycin"
"Hyaluronic Acid"
"Meningococcal"
"Phenobarbitone"
"Labetalol"
"Diazepam"
"Vecuronium"
"Teicoplanin"
"Urofollitropin"
"Oxytocin"
"Gemifloxacin"
"Cisplatin"
"Recombinant follicle stimulating hormone"
"Etofylline"
"Chloroquine"
"Roxithromycin"
"Dobutamine"
"Calcium Gluconate"
"Levo-carnitine"
"Cerebroprotein Hydrolysate"
"Human Papillomavirus Bivalent  Vaccine"
"Carbetocin"
"Calcium"
"Chlorpheniramine Maleate"
"Ciprofloxacin"
"Zuclopenthixol"
"Carboprost"
"Clonidine"
"Clarithromycin"
"ChAdOx1 nCoV-19 Corona Virus Vaccine"
"Fosfomycin"
"Remdesivir"
"Human chorionic gonadotropin"
"Cyclophosphamide"
"Chromium Chloride"
"Xantinol Nicotinate"
"Chlorpromazine"
"Poractant Alfa"
"Ramucirumab"
"Calcitriol"
"Vinblastine"
"Carfilzomib"
"Daptomycin"
"Cisatracurium"
"Pilocarpine"
"Ganciclovir"
"Iohexol"
"Whole Virion"
"Ticarcillin"
"Ifosfamide"
"Ceftizoxime"
"Cladribine"
"Etomidate"
"Glycerin"
"L-alanyl-L-glutamine"
"Fulvestrant"
"Doxapram"
"Menotrophin"
"Dopamine"
"Rituximab"
"Cefadroxil"
"Epsilon Aminocaproic Acid"
"Carmustine"
"Cefixime"
"Carbenicillin"
"Verapamil"
"Glycopyrrolate"
"Reviparin"
"Prochlorperazine"
"Plerixafor"
"Chloroprocaine"
"Diphtheria Immune Globulin"
"Magnesium Carbonate"
"Clofarabine"
"Hydroxocobalamin"
"Sulfamethopyrazine"
"Palonosetron"
"Fluorouracil"
"Phenytoin"
"Topotecan"
"Esmolol"
"Ticlopidine"
"Irinotecan"
"Digoxin"
"Capreomycin"
"Metoclopramide"
"Eptifibatide"
"Linezolid"
"Posaconazole"
"Propofol"
"Mesna"
"Conivaptan"
"Mitomycin"
"Cefdinir"
"Vinorelbine"
"Doripenem"
