brand
"Ascoril LS Syrup"
"Ascoril D Plus Syrup Sugar Free"
"Alex Syrup"
"Augmentin Duo Oral Suspension"
"Ambrodil-S Syrup"
"Asthakind-DX Syrup Sugar Free"
"Asthalin Syrup"
"Ascoril LS Junior Syrup"
"Allegra Suspension Raspberry & Vanilla"
"Atarax Syrup"
"Alex Junior Syrup"
"Azithral 200 Liquid"
"Augmentin DDS Suspension"
"Azee 200mg Dry Syrup"
"Ascoril D Junior Cough Syrup"
"Ambrodil-LX Syrup"
"Alex Syrup Sugar Free"
"Aptimust Syrup"
"Ambrodil Syrup"
"Atarax Drops"
"Alerid Syrup"
"Ambrodil-Plus RF Syrup"
"Azithral XL 200 Liquid"
"Advent Forte 457mg Syrup Tangy Orange"
"Alex-L Cough Syrup Mango"
"Alkof DX Syrup"
"Ambrolite D Syrup"
"Asthalin AX Syrup"
"Asthakind-DX Junior Syrup Cherry"
"Advent 228.5mg Dry Syrup"
"Alkacitral Liquid"
"Azithral 100 Liquid"
"Azee 100mg Dry Syrup Peppermint"
"Ascoril C  Syrup"
"Ascoril Flu Syrup"
"Ambrolite Syrup"
"Alkof Syrup"
"Alkacip Syrup"
"Augmentin ES Oral Suspension"
"Ancool  Oral Suspension Sugar Free"
"Alex P Syrup"
"Ambrolite Levo Syrup"
"Augpen -DS Suspension"
"Althrocin Liquid"
"Anafortan Syrup"
"Alkaliser Syrup"
"Asthalin Plus Expectorant"
"Ascodex Cough Syrup"
"Allercet-M Syrup"
"Amoxycillin 125mg Oral Suspension"
"Advanced LCF Kid Expectorant"
"Azee XL 200mg Dry Syrup Peppermint"
"Amoxyclav DS Syrup"
"Apetamin Syrup"
"AB Phylline Syrup"
"ATM 200 Oral Suspension"
"Asthalin DX Syrup"
"Azibact 200 Readymix Oral Suspension"
"Ascodex Junior Syrup"
"Amrox Junior Syrup"
"Azibact LR 100 Readymix"
"Amplinak Opthalmic Suspension"
"Ambrodil-XP Syrup"
"Amoxyclav Oral Suspension"
"Augpen HS 200 mg/28.5 mg Suspension"
"Azibact LR Readymix 200"
"Antiflu 12mg/ml Syrup"
"Amrox-LS Junior Syrup"
